id,text
593891000000000000,RT @KirkKus: Indirect cost of the UK being in the EU is estimated to be costing Britain £170 billion per year! #BetterOffOut #UKIP
593891000000000000,VIDEO: Sturgeon on post-election deals http://t.co/BTJwrpbmOY
593891000000000000,RT @LabourEoin: The economy was growing 3 times faster on the day David Cameron became Prime Minister than it is today.. #BBCqt http://t.co…
593891000000000000,RT @GregLauder: the UKIP east lothian candidate looks about 16 and still has an msn addy http://t.co/7eIU0c5Fm1
593891000000000000,RT @thesundaypeople: UKIP's housing spokesman rakes in £800k in housing benefit from migrants.  http://t.co/GVwb9Rcb4w http://t.co/c1AZxcLh…
593891000000000000,RT @Nigel_Farage: Make sure you tune in to #AskNigelFarage tonight on BBC 1 at 22:50! #UKIP http://t.co/ogHSc2Rsr2
593891000000000000,RT @joannetallis: Ed Milliband is an embarrassment. Would you want him representing the UK?!  #bbcqt vote @Conservatives
593891000000000000,"RT @abstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) http://t.c…"
593891000000000000,RT @NivenJ1: “@George_Osborne: Ed Miliband proved tonight why he's not up to the job” Tbf you've spent 5 years doing that you salivating do…
593891000000000000,LOLZ to Trickle Down Wealth. It's never trickling past their own wallets. Greed always wins $$$ for the greedy.  https://t.co/X7deoPbS97
593891000000000000,SNP leader faces audience questions http://t.co/TYClKltSpW
593891000000000000,"RT @cononeilluk: Cameron ""Ed Milliband hanging out with Russell Brand. He is a joke. This is an election. This is about real people' http:/…"
593891000000000000,RT @politicshome: Ed Miliband: Last Labour government did not overspend http://t.co/W9RJ2aSH6o http://t.co/4myFekg5ex
593891000000000000,"If Miliband is refusing to do any deal with the SNP, how does he plan on forming a government?"
593891000000000000,RT @scotnotbritt: Well thats it. LABOUR would rather have a TORY government rather than work with the SNP. http://t.co/SNMkRDCe9f
593891000000000000,Cameron wins last TV contest of election campaign - poll: LONDON (Reuters) - Prime Minister David Cameron won the… http://t.co/aUMOoYWOSk
593891000000000000,"RT @stephen501: @dunleavy138 @CrillyBobc @theSNP @UKLabour I would be happy to do a deal with the SNP, but @Ed_Miliband was clear. If you w…"
593891000000000000,"How dare @EdMiliband_MP force Socialists to chose between the English LP and the SNP! The #SNP are the last, true Socialist party in the UK"
593891000000000000,Watch: Ed Miliband trips off the stage following Question Time leaders special http://t.co/X61IGbe07R
593891000000000000,"RT @abstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) http://t.c…"
593891000000000000,@B0MBSKARE the anti-Scottish feeling is largely a product of Tory press scaremongering. In practice most people won't give a toss!
593891000000000000,"Miliband stumbles, Cameron dodges http://t.co/wnv2zOhQvq"
593891000000000000,Miliband - I'd pass on PM job rather than do deal with Scots nationalists: LONDON (Reuters) - British Labour Party… http://t.co/2cFGVfWkqF
593891000000000000,RT @GloriaDePiero: Nick Clegg is just as responsible for this Govt's failing  plan as David Cameron - he's backed the Tories all the  way
593891000000000000,RT @mykilmarnock: Will the person who dropped a Vote SNP badge please call at Kilmarnock police station to collect it. http://t.co/o3sG5B4L…
593891000000000000,RT @Markfergusonuk: The Sun’s Twitter worm appears to believe Ed Miliband is winning so far #bbcqt http://t.co/ZgZbSwnZxZ
593891000000000000,"@ScottishPleb @AHairyBiker 

SNP toxic in England. Why would Labour want to do a deal with them?"
593891000000000000,"RT @KatieKhaleesi: I'm #SNPbecause in my entire adult life I've only seen Labour &amp; Tories cause misery, war, and further victimisation of t…"
593891000000000000,Jeremy Vine doesn't think the SNP Scottish takeover merits a mention
593891000000000000,"RT @daniloxxv: ""UKIP is the bastard child of the big three parties. With apologies to all bastards."" - @PeterTatchell at the University of …"
593891000000000000,"“@suttonnick: Friday's Times front page:
Miliband savaged for ‘lies’ over spending
#tomorrowspaperstoday #bbcpapers http://t.co/ts9ZnULDwr”"
593891000000000000,RT @dhothersall: Scenes of celebration in Glasgow as #SNP applaud a #Conservative victory. Just a bit of fun. Or is it? :-) https://t.co/hh…
593891000000000000,"@KTHopkins SNP thickos look forward to having the balance of power, bringing fair, decent policies that fascists bigots like u detest!"
593891000000000000,RT @LabourEoin: Another humongous lie from David Cameron. He has not clamped down on Tax Avoidance. Uncollected Tax has risen #BBCqt http:/…
593891000000000000,"my tory dad:
""if UKIP had a chance here I'd definitely vote for them.""

*5 mins later*
""you are so blinkered!!! so closed minded!!""

u sure?"
593891000000000000,"Tonight's polling average: Con 33.7%, Lab 33%, UKIP 13%, Lib Dem 8% and Green 5.7%."
593891000000000000,RT @jsteve372: .@mik61scot it's Nicola Sturgeon's new education policy... Improve literacy by getting deprive kids reading words on helicop…
